Time,HR,RR,Mode,GSR,SkinT,AccX,AccY,AccZ
18/02/17 00:08:04.639,0.000000,0.630496,,0.000,0.000,0.023,-0.801,-0.564
18/02/17 00:08:05.572,67.000000,0.912560,Acquiring,340330.000,0.000,0.023,-0.797,-0.576
18/02/17 00:08:06.360,67.000000,0.796416,Acquiring,340330.000,0.000,0.024,-0.787,-0.594
18/02/17 00:08:07.076,67.000000,0.730048,Acquiring,340330.000,0.000,0.032,-0.757,-0.630
18/02/17 00:08:07.808,67.000000,0.713456,Acquiring,340330.000,0.000,0.014,-1.080,-0.093
18/02/17 00:08:08.256,67.000000,0.464576,Acquiring,340330.000,0.000,-0.302,-0.153,0.829
18/02/17 00:08:09.213,67.000000,0.945744,Acquiring,340330.000,0.000,-0.209,-0.272,0.939
18/02/17 00:08:10.151,67.000000,0.945744,Acquiring,340330.000,0.000,1.216,-1.120,0.498
18/02/17 00:08:11.034,67.000000,0.879376,Acquiring,340330.000,0.000,0.442,-0.474,0.062
18/02/17 00:08:12.138,67.000000,1.111664,Acquiring,340330.000,0.000,0.881,-0.509,-0.119
18/02/17 00:08:12.710,67.000000,0.547536,Acquiring,340330.000,0.000,1.223,-0.420,-0.079
18/02/17 00:08:13.020,67.000000,0.315248,Acquiring,340330.000,0.000,0.857,-0.310,0.165
18/02/17 00:08:13.057,67.000000,0.049776,Acquiring,340330.000,0.000,0.857,-0.310,0.165
18/02/17 00:08:14.254,67.000000,0.746640,Acquiring,340330.000,0.000,0.943,0.079,-0.136
18/02/17 00:08:14.551,67.000000,0.730048,Acquiring,340330.000,0.000,0.973,-0.280,-0.134
18/02/17 00:08:15.519,67.000000,0.962336,Acquiring,340330.000,34.300,0.229,-0.525,1.320
18/02/17 00:08:16.589,67.000000,0.813008,Acquiring,340330.000,34.300,1.244,-0.835,-0.742
18/02/17 00:08:17.370,67.000000,0.829600,Acquiring,340330.000,34.300,1.688,-0.252,-0.338
18/02/17 00:08:18.052,67.000000,0.829600,Acquiring,340330.000,34.300,0.909,-0.732,-0.067
18/02/17 00:08:18.734,67.000000,0.647088,Acquiring,340330.000,34.300,0.477,-0.596,0.123
18/02/17 00:08:19.419,67.000000,0.331840,Acquiring,340330.000,34.300,0.472,-0.786,-0.094
18/02/17 00:08:19.994,67.000000,0.962336,Acquiring,340330.000,34.300,0.615,-0.734,0.259
18/02/17 00:08:21.165,67.000000,0.846192,Acquiring,340330.000,34.300,0.651,-0.686,0.305
18/02/17 00:08:22.051,67.000000,0.879376,Acquiring,340330.000,34.300,0.649,-0.681,0.277
18/02/17 00:08:22.636,67.000000,0.862784,Acquiring,340330.000,34.300,0.645,-0.655,0.317
18/02/17 00:08:23.015,67.000000,0.381616,Acquiring,340330.000,34.300,0.645,-0.656,0.325
18/02/17 00:08:23.601,71.000000,0.580720,Locked,340330.000,34.300,0.659,-0.644,0.310
18/02/17 00:08:24.683,73.000000,0.829600,Locked,340330.000,34.300,0.668,-0.651,0.340
18/02/17 00:08:25.161,73.000000,0.779824,Locked,340330.000,34.300,0.672,-0.626,0.325
18/02/17 00:08:25.658,73.000000,0.514352,Locked,340330.000,34.300,0.680,-0.641,0.322
18/02/17 00:08:26.633,73.000000,0.730048,Locked,340330.000,34.300,0.681,-0.624,0.335
18/02/17 00:08:27.015,73.000000,0.597312,Locked,340330.000,34.300,0.687,-0.646,0.314
18/02/17 00:08:27.890,73.000000,0.813008,Locked,340330.000,34.300,0.691,-0.629,0.345
18/02/17 00:08:28.485,74.000000,0.696864,Locked,340330.000,34.300,0.678,-0.634,0.323
18/02/17 00:08:29.461,73.000000,0.763232,Locked,340330.000,34.300,0.683,-0.643,0.311
18/02/17 00:08:30.134,73.000000,0.813008,Locked,340330.000,34.300,0.693,-0.623,0.321
